,Input,n2,n3,n4,n5,n6,n7,n8,n9,Fvalue
"[('n2', 0)]",-2.0,0.0,-2.5,-1.25,-1.5,-2.0,-0.25,-1.0,-1.0,-11.5
"[('n7', 0)]",-3.0,0.0,-2.75,-1.25,-1.5,-1.75,0.0,0.0,-1.0,-11.25
"[('n5', 0)]",1.0,1.0,-4.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-10.0
"[('Input', 0)]",-2.0,0.0,-2.5,-1.25,-1.5,-2.0,-0.25,-1.0,-1.0,-11.5
"[('n9', 0)]",-4.0,0.0,-1.75,-1.25,-1.5,-1.75,-1.0,-1.0,-1.0,-13.25
"[('n6', 0)]",1.0,1.0,-4.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-10.0
"[('Output1', 0)]",-2.0,0.0,-2.5,-0.25,-1.5,-2.0,-0.25,-1.0,-1.0,-10.5
"[('Output2', 0)]",-2.0,0.0,-2.0,-1.25,-0.75,-2.0,-0.25,-1.0,-1.0,-10.25
"[('n2', 1)]",3.0,-1.0,-3.0,-2.0,-1.0,-1.0,-1.0,-2.0,-1.0,-9.0
"[('n7', 1)]",-1.0,0.0,-2.25,-1.25,-1.5,-2.25,-0.5,0.0,-1.0,-9.75
"[('n3', 1)]",-3.0,-1.0,-3.0,-3.0,-2.0,-2.0,-1.0,-1.0,-1.0,-17.0
"[('n5', 1)]",-3.0,-1.0,-3.0,-3.0,-2.0,-2.0,-1.0,-1.0,-1.0,-17.0
"[('Input', 1)]",-5.0,-1.0,-3.0,-2.0,-1.0,-1.0,-1.0,-2.0,-1.0,-17.0
"[('n6', 1)]",-3.0,-1.0,-3.0,-3.0,-2.0,-2.0,-1.0,-1.0,-1.0,-17.0
"[('n8', 1)]",0.0,0.0,-2.25,-1.25,-1.5,-2.25,-0.5,-1.0,-0.5,-9.25
"[('Output2', 1)]",-2.0,0.0,-2.0,-1.25,-1.25,-2.0,-0.25,-1.0,-1.0,-10.75
"[('Output1', 1)]",-2.0,0.0,-2.5,-0.25,-1.5,-2.0,-0.25,-1.0,-1.0,-10.5
"[('n4', 1)]",-1.0,0.0,-1.25,0.0,-1.5,-2.25,-0.25,-1.0,-1.0,-8.25
"[('n4', 0)]",-3.0,0.0,-1.75,-2.5,-1.5,-1.75,-0.25,-1.0,-1.0,-12.75
"[('n3', 0)]",1.0,1.0,-3.0,0.0,-1.0,-1.0,-1.0,-2.0,-1.0,-7.0
"[('n9', 1)]",0.0,0.0,-1.75,-1.25,-1.5,-1.75,-1.0,-1.0,-1.0,-9.25
"[('n8', 0)]",-4.0,0.0,-2.75,-1.25,-1.5,-1.75,0.0,-1.0,0.0,-12.25
