,Output1,Output2,att_stability,F_major_att,major_att_size
"[('Input', 1)]",1.0,0.0,1.0403389297122625,-13.0,0.453125
"[('Output1', 1)]",1.0,0.5859375,1.4317401718071279,8.0,0.453125
"[('Output2', 1)]",0.4140625,1.0,1.4317401718071279,7.0,0.453125
"[('n2', 1)]",1.0,0.0,1.0403389297122625,-5.0,0.453125
"[('n3', 1)]",0.0,1.0,1.3221021722773614,-14.0,0.3515625
"[('n4', 1)]",1.0,0.5625,1.353473139844425,6.0,0.5
"[('n5', 1)]",0.0,1.0,0.9552286704126214,-12.0,0.46484375
"[('n6', 1)]",0.0,1.0,1.0123583852408016,-14.0,0.4453125
"[('n7', 1)]",0.4140625,0.5859375,1.0403389297122625,10.0,0.453125
"[('n8', 1)]",0.4140625,0.5859375,1.0403389297122625,8.0,0.453125
"[('n9', 1)]",0.4140625,0.5859375,1.0403389297122625,4.0,0.453125
"[('Input', 0)]",0.4140625,0.5859375,1.4317401718071279,9.0,0.453125
"[('Output1', 0)]",0.0,0.5859375,1.4317401718071279,8.0,0.453125
"[('Output2', 0)]",0.4140625,0.0,1.4317401718071279,7.0,0.453125
"[('n2', 0)]",0.4140625,0.5859375,1.4317401718071279,9.0,0.453125
"[('n3', 0)]",1.0,0.0,1.0239287996389363,-3.0,0.5
"[('n4', 0)]",0.0,0.8125,1.096436695344335,-12.0,0.60546875
"[('n5', 0)]",1.0,0.0,0.0,-10.0,1.0
"[('n6', 0)]",1.0,0.0,0.0,-10.0,1.0
"[('n7', 0)]",0.4140625,0.5859375,1.0403389297122625,8.0,0.453125
"[('n8', 0)]",0.4140625,0.5859375,1.0403389297122625,4.0,0.453125
"[('n9', 0)]",0.4140625,0.5859375,1.0403389297122625,0.0,0.453125
